QueryId,QueryName,GoogleSearchResultId,BingSearchResultId,GTitleNumOfTokens,BTitleNumOfTokens,TitleTokensJaccardSim,GTitleNumOfTerms,BTitleNumOfTerms,TitleTermsJaccardSim,GSnippetNumOfTokens,BSnippetNumOfTokens,SnippetTokensJaccardSim,GSnippetNumOfTerms,BSnippetNumOfTerms,SnippetTremsJaccardSim
2,نهر أمازون,101,8856,6,6,1.0,5,5,1.0,32,16,0.025641026,20,11,0.12
2,نهر أمازون,133,8857,4,4,1.0,3,3,1.0,30,20,0.65217394,20,12,0.625
2,نهر أمازون,116,8858,5,5,1.0,4,4,1.0,26,14,0.5,22,12,0.55
2,نهر أمازون,178,8861,10,10,0.8181818,9,8,0.8888889,33,19,0.3939394,22,12,0.35
2,نهر أمازون,131,8865,5,5,1.0,4,4,1.0,29,17,0.05,21,14,0.07692308
2,نهر أمازون,198,8872,7,7,1.0,5,5,1.0,32,19,0.5483871,23,13,0.59090906
2,نهر أمازون,199,8875,4,6,0.8,3,4,0.75,22,17,0.028571429,19,12,0.07692308
4,شركة أمازون,307,9257,2,12,0.22222222,2,7,0.4,21,17,0.65217394,16,11,0.6875
4,شركة أمازون,310,9260,9,9,1.0,8,8,1.0,28,15,0.19444445,20,13,0.26923078
4,شركة أمازون,319,9262,4,6,0.6666667,3,4,0.75,24,15,0.59090906,22,12,0.6111111
4,شركة أمازون,306,9263,13,11,0.71428573,10,8,0.8,30,16,0.1891892,20,12,0.3043478
4,شركة أمازون,342,9270,11,11,1.0,7,7,1.0,33,16,0.07317073,23,11,0.10344828
4,شركة أمازون,327,9295,11,10,0.7777778,9,8,0.85714287,14,12,0.6923077,11,8,0.7
4,شركة أمازون,314,9301,6,6,1.0,6,6,1.0,28,15,0.5555556,22,12,0.57894737
4,شركة أمازون,304,9312,10,9,0.72727275,7,6,0.85714287,28,18,0.48387095,23,15,0.5416667
4,شركة أمازون,309,9316,10,10,1.0,7,7,1.0,35,13,0.022727273,22,9,0.071428575
4,شركة أمازون,374,9320,7,7,1.0,6,6,1.0,21,16,0.7619048,16,14,0.875
4,شركة أمازون,394,9322,6,6,1.0,5,5,1.0,23,14,0.45454547,22,13,0.5882353
4,شركة أمازون,349,9328,10,10,1.0,8,8,1.0,27,14,0.4642857,21,13,0.61904764
4,شركة أمازون,348,9342,11,11,1.0,8,8,1.0,31,16,0.4642857,26,15,0.54545456
4,شركة أمازون,372,9349,7,7,1.0,6,6,1.0,28,16,0.5714286,21,12,0.5714286
4,شركة أمازون,377,9370,7,7,1.0,7,7,1.0,28,17,0.55172414,22,15,0.6818182
4,شركة أمازون,350,9389,13,12,1.0,9,9,1.0,31,19,0.18421052,21,15,0.21428572
4,شركة أمازون,400,9401,11,10,0.90909094,9,8,0.8888889,28,12,0.025641026,22,11,0.1
6,المخرج عدنان إبراهيم,519,9523,6,6,1.0,5,5,1.0,39,16,0.2820513,31,12,0.35714287
6,المخرج عدنان إبراهيم,544,9527,10,10,1.0,8,8,1.0,33,17,0.07317073,21,13,0.13793103
6,المخرج عدنان إبراهيم,591,9541,12,11,0.90909094,8,7,0.875,32,14,0.38709676,23,9,0.4090909
6,المخرج عدنان إبراهيم,514,9551,6,6,1.0,5,5,1.0,45,17,0.3488372,26,9,0.39130434
6,المخرج عدنان إبراهيم,501,46264,7,7,1.0,6,6,1.0,28,19,0.60714287,20,12,0.6
7,المفكر عدنان إبراهيم,606,9705,6,6,1.0,6,6,1.0,25,16,0.2857143,22,14,0.36363637
7,المفكر عدنان إبراهيم,604,9713,11,9,0.8181818,9,7,0.7777778,30,15,0.4827586,21,11,0.5263158
7,المفكر عدنان إبراهيم,604,9715,11,9,0.8181818,9,7,0.7777778,30,15,0.4827586,21,11,0.5263158
7,المفكر عدنان إبراهيم,690,9719,11,11,0.8333333,9,8,0.8888889,28,15,0.53571427,21,11,0.55
7,المفكر عدنان إبراهيم,631,9723,7,7,1.0,6,6,1.0,31,18,0.25641027,20,14,0.26923078
7,المفكر عدنان إبراهيم,654,9746,9,9,0.3846154,9,8,0.54545456,28,14,0.10810811,22,11,0.24
24,سلطنة عمان,2256,12785,6,6,1.0,5,5,1.0,27,16,0.025,23,13,0.060606062
24,سلطنة عمان,2323,12789,3,2,0.6666667,2,2,1.0,28,14,0.060606062,21,9,0.041666668
24,سلطنة عمان,2308,12791,5,5,1.0,4,4,1.0,24,18,0.33333334,20,13,0.375
24,سلطنة عمان,2289,12800,5,5,1.0,4,4,1.0,27,16,0.024390243,20,11,0.035714287
